UV,catégorie,titre,diplome,mineur,C,Cvolume,TD,TDvolume,TP,TPvolume,THE,THEvolume,PRJ,PRJvolume,ENT,ENTvolume,STG,STGvolume,periode1,periode2,antécédent,commentaires,credits,langues,objectif1,objectif2,objectif3,objectif4,objectif5,objectif6,objectif7,programme1,programme2,programme3,programme4,programme5,programme6,programme7,programme8,programme9,programme10,programme11
SO05,CT,Analyse de l'erreur humaine dans les accidents industriels,UV ing.,,C,21 h,TD,21 h,,,THE,60 h,,,,,,,Automne,,,Maîtrise du français : *** niveau C2 |Picto pédagogie par projet,4 crédits,FRA,"La compréhension du fonctionnement des systèmes complexes à risques qui intègrent dimensions techniques, cognitives et organisationnelles, constitue un enjeu critique. Elle est un pré-requis à la conception et à l'exploitation de systèmes sociotechniques résilients, tolérants à l'erreur.",,,,,,,comprendre l'évolution des points de vue sur la sûreté des systèmes,"analyser les facteurs explicatifs de la fiabilité des systèmes à risque (cognition individuelle et collective, structure des organisations)",appliquer les cadres de classification de l'erreur humaine,"mettre en ½uvre des méthodes et outils d'analyse rétrospective des accidents (FTA, CREAM, FRAM, etc.)",,,,,,,
SO09,CT,"Innovations techniques, innovations sociétales",UV ing.,,C,28 h,TD,14 h,,,THE,60 h,,,,,,,Printemps,,,Maîtrise du français : ** niveau C1 |Intervenants extérieurs supérieur ou égal à 75% ***|Picto pédagogie par projet,4 crédits,FRA,"Certaines innovations technologiques récentes conduisent à redéfinir les relations entre agents humains, organisations et systèmes techniques. Elles interrogent ainsi les cadres traditionnels utilisés pour penser la relation Homme-Société-Technologie.",,,,,,,"analyser un large panel d'innovations technologiques contemporaines, et comprendre leurs conséquences sur le fonctionnement cognitif, les pratiques professionnelles et privées, et l'organisation de la société",comprendre les conditions de leur mise en oeuvre des innovations technologiques à une échelle industrielle,penser les rapports Homme-Société-Technologie en questionnant les modèles traditionnels utilisés,,,,,,,,
SP01,ME,Initiation à l'animation sportive,UV ing.,,C,20 h,TD,28 h,,,THE,30 h,PRJ,18 h,,,,,Automne,Printemps,,,4 crédits,FRA,Les thèmes abordés (gestion de projet et sciences du sport) doivent permettre de concevoir des séances d'animation sportive. ,"En TD, l'étudiant est responsable de deux séquences, il endosse le rôle d'animateur et propose une activité sportive.",,,,,créer un cahier des charges (projet d'animation),organiser et gérer des séances de travail,"se connaître, identifier ses compétences dans le domaine du management (de projet et d'équipe)",,,,,,,,,
SP02,ME,Animateur sportif,UV ing.,,C,20 h,,,TP,40 h,THE,40 h,PRJ,20 h,,,,,Automne,Printemps,,,4 crédits,FRA,Les thèmes abordés (gestion de projet et sciences du sport) doivent permettre de concevoir un projet d'animation et de manager une équipe en milieu sportif. ,L'étudiant est responsable d'une équipe et anime des séances de sport.,,,,,manager une équipe,communiquer,"gérer un projet, appliquer ses connaissances pour optimiser la performance de son équipe","créer un cahier des charges : concevoir, planifier, piloter, évaluer et analyser la performance de son équipe",,,,,,,,
SP03,ME,Animateur qualifié,UV ing.,,C,28 h,,,TP,30 h,THE,20 h,PRJ,20 h,,,,,Automne,Printemps,,Maîtrise français niveau C1**,4 crédits,FRA,Obtenir un niveau de qualification dans le domaine de l'entraînement ou de l'animation.,"Formation effectuée par une fédération délégataire : Animateur sportif, Arbitrage...",,,,,manager une équipe,communiquer,"gérer un projet, appliquer ses connaissances pour optimiser la performance de son équipe","créer un cahier des charges : concevoir, planifier, piloter, évaluer et analyser sa performance",,,,,,,,
SP11,CT,La performance sportive,UV ing.,,C,20 h,TD,28 h,,,THE,30 h,PRJ,30 h,,,,,Automne,Printemps,,,4 crédits,FRA,"Des thèmes liés à la performance (anatomie, physiologie, psychologie...) sont abordés afin de concevoir un projet d'entraînement. Plusieurs activités sportives sont proposées en TD et sont axées sur le travail en équipe et le développement de la condition physique.",,,,,,,gérer un projet. Appliquer ses connaissances dans le cadre d'un entraînement sportif,"créer un cahier des charges : concevoir, planifier, piloter, évaluer et analyser sa performance","travailler en équipe, coopérer et s'entraider",gérer un effort et se surpasser. Gérer ses émotions en situation de compétition,,,,,,,
SP20,ME,Organisation d'un évènement sportif,UV ing.,,C,20 h,TD,14 h,TP,12 h,THE,40 h,PRJ,30 h,,,,,Printemps,,,Maîtrise français niveau C1**,4 crédits,FRA,"Des notions dans les domaines du management de projet et des ressources humaines, de la sécurité évènementielle et de la communication sont abordées dans le but de mettre en place un évènement sportif.",,,,,,,manager une équipe et travailler en équipe,gérer un projet et organiser un évènement,"créer un cahier des charges : concevoir, planifier, piloter, évaluer et analyser","concevoir un plan de communication, un dossier partenariat, un dossier logistique et sécurité",,,,,,,
ST05,ST,Stage technique,UV ing.,,,,,,,,,,,,,,STG,4 Semaines,Automne,Printemps,,,6 crédits,FRA,"Le stage technique a pour but de permettre la découverte de l'entreprise, son organisation et ses modes de fonctionnement. Il donne à l'étudiant sa première expérience professionnelle. Il permet à travers les livrables de développer la communication écrite et orale.",,,,,,,être capable de s'intégrer dans un milieu professionnel et une équipe de travail,être capable de réaliser les activités demandées avec professionnalisme,"être capable de rechercher des informations sur son environnement de travail (observations, échanges) pour comprendre le fonctionnement d'une entreprise et, si possible, le rôle d'un ingénieur","être capable de présenter à l'écrit et à l'oral son expérience de manière synthétique et claire,et si possible de questionner la réalité, technique et sociale, des conditions de travail",,,,,,,
ST09,ST,Stage professionnel,UV ing.,,,,,,,,,,,,,,STG,24 Semaines,Automne,Printemps,,Maîtrise du français : * niveau B2,30 crédits,FRA,"Le «stage ST09» a pour objectifs de développer la connaissance du milieu de l'entreprise,","d'appliquer et valoriser les connaissances et savoir-faire acquis à l'UTT, de réaliser un",travail personnel mettant en oeuvre des compétences techniques et de valider l'orientation,professionnelle et le choix de filière.,,,,être capable de s'intégrer dans un contexte professionnel nouveau,être capable de mobiliser les connaissances et savoir-faire acquis en formation pour apporter,de la valeur ajoutée à l'organisme d'accueil,"être capable de réaliser, de manière autonome et avec le niveau de responsabilité requis,",des activités relevant de son champ de compétences,"être capable de valoriser les activités réalisées, les résultats obtenus et les nouvelles compétences",acquises aussi bien par écrit qu'à l'oral,,,,
ST10,ST,Projet de fin d'étude,UV ing.,,,,,,,,,,,,,,STG,24 Semaines,Automne,Printemps,,Maîtrise du français : * niveau B2,30 crédits,FRA,Le « projet de fi n d'études » vise à la réalisation d'un travail d'ingénieur en conformité avec,le projet professionnel de l'étudiant. Ce travail doit être en cohérence avec le diplôme,"préparé et l'étudiant doit être amené à gérer entièrement un projet, à être force de propositions",et à faire preuve d'autonomie.,,,,être capable de s'intégrer dans un contexte professionnel nouveau,être capable de mobiliser les connaissances et savoir-faire acquis en formation pour apporter,de la valeur ajoutée à l'organisme d'accueil,"être capable de réaliser, de manière autonome et avec le niveau de responsabilité requis,",des activités relevant de son champ de compétences,"être capable de valoriser les activités réalisées, les résultats obtenus et les nouvelles compétences",acquises aussi bien par écrit qu'à l'oral,,,,
ST30,ST,Stage master,UV mast.,,,,,,,,,,,,,,STG,20 Semaines,,,,Durée du stage de 20 à 26 semaines maximum|Maîtrise du français : * niveau B2,30 crédits,FRA,Le stage Master apporte à l'étudiant une expérience professionnelle signifi cative dans les,conditions qui seront celles de ses activités et responsabilités.,,,,,,maîtrise des concepts et des objets techniques et scientifiques,"maîtrise, autonomie et adaptation face aux changements",maîtrise de l'analyse et de la synthèse du projet en relation avec son environnement,autonomie de gestion et d'encadrement d'un projet,"valorisation des activités réalisées, des résultats obtenus et des nouvelles compétences",acquises aussi bien par écrit qu'à l'oral,,,,,
ST31,ST,Stage spécial en environnement et développement durable,UV mast.,,,,,,,,,,,,,,STG,16 Semaines,,,,,18 crédits,FRA,permettre une intégration interdisciplinaire des apprentissages par l'application des,connaissances en situation réelle de la pratique professionnelle,,,,,,le sujet proposé est soumis à l'agrément de l'UTT,le sujet doit répondre au projet professionnel de l'étudiant,chaque étudiant est suivi par un enseignant de l'UTT,le stage Master fait l'objet d'un rapport et d'une soutenance orale devant un jury,la validation est obligatoire pour l'obtention du diplôme,,,,,,
ST33,ST,Stage intervention en environnement et développement durable,UV mast.,,,,,,,,,,,,,,STG,16 Semaines,,,,,18 crédits,FRA,développer une expertise concrète en milieu de travail dans le domaine de l'environnement ou du développement durable,appliquer des connaissances acquises et poursuivre le développement des compétences exigées au programme lors d'une situation professionnelle,appliquer les bonnes pratiques de gestion de projet,,,,,le sujet proposé est soumis à l'agrément de l'UTT,le sujet doit répondre au projet professionnel de l'étudiant et s'inscrire en lien avec l'essai(ST32),chaque étudiant est suivi par un enseignant de l'UTT,le stage master fait l'objet d'un rapport et d'une soutenance orale devant un jury,la validation est obligatoire pour l'obtention du diplôme,,,,,,
ST40,ST,Projet en laboratoire pour un étudiant d'échange,UV ing.,,,,,,,,,,,,,,STG,24 Semaines,Automne,Printemps,,,30 crédits,FRA,permettre à un étudiant d¿échange de participer à un projet de recherche dans un des ,laboratoires de l'UTT,,,,,,le sujet est proposé par un enseignant-chercheur de l'UTT et validé par l'université d'envoi,le sujet doit répondre au projet professionnel de l'étudiant,chaque étudiant est suivi par l'enseignant qui l'accueille dans son laboratoire,le projet fait l'objet d¿un rapport et d'une soutenance orale devant un jury,,,,,,,
ST51,ST,Projet de fin d'études en alternance Partie 1,UV ing.,,,,,,,,,,,,,,,,Automne,Printemps,,Maîtrise du français : * niveau B2,18 crédits,FRA,Le « projet de fin d'études » vise à la réalisation d'un travail d'ingénieur en conformité avec ,le projet professionnel de l'étudiant. Ce travail doit être en cohérence avec le diplôme ,"préparé et l'étudiant doit être amené à gérer entièrement un projet, à être force de propositions et à faire preuve d'autonomie.",,,,,être capable de s'intégrer dans un contexte professionnel nouveau,être capable de mobiliser les connaissances et savoir-faire acquis en formation pour apporter de la valeur ajoutée à l'organisme d'accueil,"être capable de réaliser, de manière autonome et avec le niveau de responsabilité requis, ",des activités relevant de son champ de compétences,"être capable de valoriser les activités réalisées, les résultats obtenus et les nouvelles com-",pétences acquises aussi bien par écrit qu'à l'oral,,,,,
ST52,ST,Projet de fin d'études en alternance Partie 2,UV ing.,,,,,,,,,,,,,,STG,24 Semaines,Automne,Printemps,,Maîtrise du français : * niveau B2,12 crédits,FRA,Le « projet de fin d¿études » vise à la réalisation d'un travail d'ingénieur en conformité avec ,le projet professionnel de l'étudiant. Ce travail doit être en cohérence avec le diplôme ,"préparé et l'étudiant doit être amené à gérer entièrement un projet, à être force de propositions et à faire preuve d'autonomie",,,,,être capable de s'intégrer dans un contexte professionnel nouveau,être capable de mobiliser les connaissances et savoir-faire acquis en formation pour apporter de la valeur ajoutée à l'organisme d'accueil,"être capable de réaliser, de manière autonome et avec le niveau de responsabilité requis, ",des activités relevant de son champ de compétences,"être capable de valoriser les activités réalisées, les résultats obtenus et les nouvelles compétences acquises aussi bien par écrit qu'à l'oral",,,,,,
ST61,ST,Projet de fin d'études en alternance - Partie 1,UV mast.,,,,,,TP,15 h,,,,,,,STG,24 Semaines,,,,,12 crédits,FRA,"Le projet de fin d'études vise à la réalisation d'un travail de master en conformité avec le projet professionnel de l'étudiant. Ce travail doit être en cohérence avec le diplôme préparé et l'étudiant doit être amené à gérer entièrement un projet, à être force de propositions et à faire preuve d'autonomie.",,,,,s'intégrer dans un contexte professionnel nouveau,mobiliser les connaissances et savoir-faire acquis et en cours d'acquisition en formation pour apporter de la valeur ajoutée à l'organisme d'accueil,"réaliser, de manière autonome et avec le niveau de responsabilité requis, des activités relevant de son champ de compétences","valoriser les activités réalisées, les résultats obtenus et les nouvelles compétences acquises aussi bien par écrit qu'à l'oral",,,,,,,,,
ST62,ST,Projet de fin d'études en alternance - Partie 2,UV mast.,,,,,,TP,15 h,,,,,,,STG,24 Semaines,,,,,12 crédits,FRA,"Le projet de fin d'études vise à la réalisation d¿un travail de master en conformité avec le projet professionnel de l'étudiant. Ce travail doit être en cohérence avec le diplôme préparé et l'étudiant doit être amené à gérer entièrement un projet, à être force de propositions et à faire preuve d'autonomie",,,,,,,s'intégrer dans un contexte professionnel nouveau,mobiliser les connaissances et savoir-faire acquis et en cours d'acquisition en formation pour apporter de la valeur ajoutée à l'organisme d'accueil,"réaliser, de manière autonome et avec le niveau de responsabilité requis, des activités relevant de son champ de compétences","valoriser les activités réalisées, les résultats obtenus et les nouvelles compétences acquises aussi bien par écrit qu'à l'oral",,,,,,,
ST63,ST,Projet de fin d'études en alternance - Partie 1,UV mast.,,,,,,TP,10 h,,,,,,,STG,24 Semaines,,,,,8 crédits,FRA,"Le projet de fin d'études vise à la réalisation d'un travail de master en conformité avec le projet professionnel de l'étudiant. Ce travail doit être en cohérence avec le diplôme préparé et l'étudiant doit être amené à gérer entièrement un projet, à être force de propositions et à faire preuve d'autonomie",,,,,,,s'intégrer dans un contexte professionnel nouveau,mobiliser les connaissances et savoir-faire acquis et en cours d'acquisition en formation pour apporter de la valeur ajoutée à l'organisme d'accueil,"réaliser, de manière autonome et avec le niveau de responsabilité requis, des activités relevant de son champ de compétences","valoriser les activités réalisées, les résultats obtenus et les nouvelles compétences acquises aussi bien par écrit qu'à l'oral",,,,,,,
ST64,ST,Projet de fin d'études en alternance - Partie 2,UV mast.,,,,,,TP,10 h,,,,,,,STG,24 Semaines,,,,,8 crédits,FRA,"Le projet de fin d'études vise à la réalisation d¿un travail de master en conformité avec le projet professionnel de l'étudiant. Ce travail doit être en cohérence avec le diplôme préparé et l'étudiant doit être amené à gérer entièrement un projet, à être force de propositions et à faire preuve d'autonomie",,,,,,,s'intégrer dans un contexte professionnel nouveau,mobiliser les connaissances et savoir-faire acquis et en cours d'acquisition en formation pour apporter de la valeur ajoutée à l'organisme d'accueil,"réaliser, de manière autonome et avec le niveau de responsabilité requis, des activités relevant de son champ de compétences","valoriser les activités réalisées, les résultats obtenus et les nouvelles compétences acquises aussi bien par écrit qu'à l'oral",,,,,,,
ST65,ST,Projet de fin d'études en alternance - Partie 3,UV mast.,,,,,,TP,10 h,,,,,,,STG,24 Semaines,,,,,8 crédits,FRA,"Le projet de fin d'études vise à la réalisation d¿un travail de master en conformité avec le projet professionnel de l'étudiant. Ce travail doit être en cohérence avec le diplôme préparé et l'étudiant doit être amené à gérer entièrement un projet, à être force de propositions et à faire preuve d'autonomie",,,,,,,s'intégrer dans un contexte professionnel nouveau,mobiliser les connaissances et savoir-faire acquis et en cours d'acquisition en formation pour apporter de la valeur ajoutée à l'organisme d'accueil,"réaliser, de manière autonome et avec le niveau de responsabilité requis, des activités relevant de son champ de compétences","valoriser les activités réalisées, les résultats obtenus et les nouvelles compétences acquises aussi bien par écrit qu'à l'oral",,,,,,,
ST66,ST,Accompagnement méthodologique à la démarche scientifique,UV mast.,,,,TD,58 h,,,,,,,,,,,Automne,Printemps,,,6 crédits,FRA,"L'accompagnement méthodologique à la démarche scientifique est offert aux stagiaires à l'alternance de la mention Risques et Environnement, en complément du projet de fin d'étude",,,,,,,réaliser un état de l'art afin d'identifier des verrous scientifiques et opérationnels ,réaliser une recherche bibliographique,"positionner sa mission professionnelle par rapport à cet état de l'art, formuler une problématique et des questions de recherche",poser un diagnostic sur une problématique,élaborer un plan d'intervention ou une analyse critique intégrant la multidisciplinarité,valoriser des résultats scientifiques à l'écrit et à l'oral,,,,,
SY01,CS,Bases de calcul des probabilités pour l'ingénieur,UV ing.,,C,28 h,TD,28 h,TP,12 h,THE,82 h,,,,,,,Automne,,,"maîtriser les notions de suite et séries entières, intégrales simples et doubles,|éléments de calculs combinatoires|Drapeau anglais/français",6 crédits,FRA,Introduction au calcul et à la modélisation probabiliste. L'accent est mis sur la présentation des définitions et propriétés relatives aux variables et vecteurs aléatoires.,,,,,,,se familiariser avec la notion d'événement aléatoire et de probabilité,comprendre et maîtriser les principes fondamentaux du calcul des probabilités,"savoir poser correctement un problème reposant sur des données ou informations aléatoires, afin d'élaborer la bonne démarche permettant de faire les calculs de probabilités appropriés et d'en donner la solution",,,,,,,,
SY02,CS,Statistiques pour l'ingénieur,UV ing. ou UV mast.,,C,28 h,TD,28 h,TP,14 h,THE,80 h,,,,,,,Automne,,,,6 crédits,FRA,"Il s'agit d'introduire les méthodes et outils statistiques de base qu'un ingénieur doit maîtriser. Ce cours repose donc sur une présentation des éléments théoriques (estimation, tests d'hypothèse, analyse de la variance), une mise en application en TD et en TP avec le logiciel libre R.",,,,,,,"identifier puis formuler correctement un problème dont les données sont de nature aléatoire, afin de définir et de choisir les outils et approches statistiques à mettre en ½uvre",maîtriser les concepts théoriques fondamentaux qui permettent de comprendre et d'interpréter avec justesse les résultats fournis par les calculs statistiques,,,,,,,,,
SY04,CS,Outils pour la modélisation de réseaux,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,Maîtrise du français niveau B2 *|,6 crédits,FRA,"Lors de la conception ou de l'exploitation d'un réseau, il est important de connaître ses propriétés et ses performances. L'objet de ce module est d'étudier différents outils pour la modélisation et l'évaluation de performances de réseaux.",,,,,,,connaître la théorie des graphes,savoir mettre en ½uvre une solution à base de graphes pour un problème de réseaux,connaître la théorie des chaînes de Markov à temps discret et à temps continu,"connaître les principes de files d'attente simples et réseaux de files d'attente et leur modélisation par Chaînes de Markov pour déterminer des paramètres de performances (temps d'attente, taux d'occupation, rejet...)",savoir modéliser un système à l'aide des chaînes de Markov et des réseaux de files d'attente. Connaître les principes d'application de ces outils à la gestion active des files d'attente dans les routeurs,,,,,,
SY05,CS,Outils d'aide à la décision et théorie des jeux,UV ing. ou UV TM pour ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,30 h,,,,,Printemps,,"MT14, SY01",,6 crédits,FRA,La théorie de la décision vise à étudier et analyser des décisions individuelles. La théorie des jeux a comme but de savoir analyser et modéliser des situations d'interaction stratégique d'individus rationnels.,,,,,,,mettre en ½uvre différentes techniques d'aide à la décision en entreprise,"comprendre l'intérêt de l'information supplémentaire (sondage, enquête) avec l'approche bayésienne et les arbres de décision",être familiariser avec la théorie de l'utilité,"connaître les différentes catégories et modèles de jeux (non coopératifs, à somme nulle, à somme non nulle, dynamiques, répétitifs, coopératifs)",connaître les conditions d'existence de solutions en stratégies pures et mixtes (aléatoires) pour diverses catégories de jeux,savoir mettre en ½uvre une méthode de résolution quand les solutions existent,,,,,
SY06,CS,Analyse et traitement du signal,UV ing. ou UV mast.,,C,28 h,TD,21 h,TP,24 h,THE,70 h,,,,,,,Automne,,,Maîtrise du français : ** niveaux C1,6 crédits,FRA,"Il s'agit d'introduire les méthodes essentielles d'analyse et de traitement des signaux déterministes. Les applications illustrant ce module sont issues des télécommunications, de l'analyse des signaux RADAR, vibratoires, du contrôle non destructif, etc.",,,,,,,comprendre les méthodes de base de transmission de l'information en télécommunications,interpréter un signal et choisir un espace de représentation adapté ,comprendre le rôle et le fonctionnement des éléments d'une chaine de traitement de l'information ou d'aide au diagnostic,savoir concevoir un système de transmission de l'information ou comprendre le fonctionnement d'un système existant,,,,,,,
SY12,TM,Eléments d'automatique et contrôle industriel,UV ing.,,C,28 h,TD,28 h,TP,24 h,THE,70 h,,,,,,,Automne,,,Maîtrise  du français : ** niveau C1|Intervenants extérieurs supérieur à 40%**,6 crédits,FRA,"étudier les méthodes d'analyse et de conception des algorithmes de commande automatique logique, modéliser les fonctionnements et commandes séquentiels",,,,,,,modéliser un système de production par un modèle de simulation à évènement discret,modéliser un système de production par un modèle de réseaux de Petri,modéliser une régulation (automatique) par un contrôleur à Logique Floue,mettre en ½uvre les modèles à évènement discret en situation réelle (TP),,,,,,,
SY14,TM,Systémique et dynamique des systèmes,UV ing. ou UV CS pour mast.,,C,28 h,TD,28 h,TP,24 h,THE,70 h,PRJ,50 h,,,,,Automne,,,Maîtrise du français : * niveau B2|,6 crédits,FRA,"L'aide à la décision dans les systèmes complexes nécessite des démarches adaptées, non limitées aux approches cartésiennes classiques, mais systémiques i.e. globales, tant qualitatives que quantitatives, inspirées des sciences de l'ingénieur, humaines et sociales.",,,,,,,comprendre les notions fondamentales permettant de construire des démarches globales pour analyser les systèmes complexes,"mettre en ½uvre une démarche systémique par itérations successives, appliquée à un système complexe concret",déterminer et organiser les paramètres pertinents pour construire un ou plusieurs modèles d'un système complexe,choisir le ou les modèles adaptés permettant de répondre à une problématique donnée pour un système complexe,,,,,,,
SY15,TM,Simulation des systèmes industriels,UV ing.,,C,28 h,TD,28 h,TP,24 h,THE,70 h,,,,,,,Printemps,,,,6 crédits,FRA,"La simulation est un processus qui consiste à concevoir un modèle d'un système réel, à mener des expérimentations avec celui-ci permettant d'en évaluer les performances afin de formuler des décisions relatives au système réel.",,,,,"savoir exploiter les principales lois de probabilité permettant de décrire des phénomènes stochastiques, mettre en ½uvre des algorithmes permettant de les simuler","modéliser le fonctionnement d'un système à événements discrets, formaliser sa dynamique d'évolution",écrire un algorithme de simulation du fonctionnement d'un système industriel,mettre en application la méthode MONTE CARLO,savoir exploiter les principes de la simulation des systèmes continus,savoir réaliser un simulateur d'un système simple sous ARENA,savoir exploiter les méthodes d'optimisation utilisant la simulation,,,,,,
SY16,CS,Traitement numérique du signal et des images,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Printemps,,,Maîtrise du français : * niveaux B2,6 crédits,FRA,former les futurs ingénieurs aux outils théoriques et pratiques nécessaires au traitement et à l'analyse numérique du signal et des images,,,,,,,comprendre le fonctionnement et maitriser les concepts de base des systèmes discrets linéaires et invariants,savoir élaborer un système élémentaire de traitement numérique du signal,maitriser le principe de formation des images numériques,savoir élaborer un système de traitement numérique des images,,,,,,,
SY17,TM,Conception des systèmes de production,UV ing.,,C,28 h,TD,28 h,TP,10 h,THE,84 h,PRJ,30 h,,,,,Automne,,,,6 crédits,FRA,Un système de production convertit des matières premières en produits finis par l'application d'outils et d'un procédé d'opérations. Cette unité d'enseignement permet d'acquérir des connaissances de base pour la conception et l'analyse des systèmes de production,,,,,,équilibrer les charges de travail  dans une ligne de fabrication ou d'assemblage,analyser la productivité d'un système de production en appliquant des méthodes analytiques ,optimiser un système de production par le placement et le dimensionnement de stocks tampons entre postes de travail,appliquer la technologie de groupe à l'implantation des ateliers,aménager un atelier en appliquant des méthodes d'agencement ,concevoir un système de manutention pour mettre en ½uvre les flux physiques dans un système de production,simuler et optimiser un système de fabrication et son système de manutention associé grâce à un logiciel de simulation,,,,,
SY18,CS,Outils de modélisation et d'évaluation des performances,UV ing. ou UV mast.,,C,28 h,TD,28 h,TP,14 h,THE,80 h,PRJ,30 h,,,,,Printemps,,,,6 crédits,FRA,"Etudier les outils de modélisation des systèmes à événements discrets, très fréquents en production, logistique et automatique.",,,,,,,"modéliser un système à événement discret de type systèmes de production, système logistique à l'aide des outils comme les Réseaux de Petri, les Réseaux de file d'attente, les processus et chaines de Markov, les modèles et algorithmes basés sur les graphes","programmer un simulateur de réseau de Petri, une file d'attente sous Excel avec VBA",,,,,,,,,
SY20,TM,Intelligence Industrielle (Outils logiciels MES/SAP),UV ing.,,C,28 h,TD,28 h,TP,24 h,THE,70 h,PRJ,50 h,,,,,Printemps,,,Intervenants extérieurs supérieur à 40% **,6 crédits,FRA,Ce cours vise à former les étudiants aux outils de pilotage global d'un système de production intelligent : SAP et son interaction avec les différents logiciels permettant de connecter les composants d'un système d'information.,,,,,,,être capable de piloter un automate via SAP,"être capable de manipuler les différentes bases de données (SAP, automate)",être capable de gérer un projet SAP du niveau stratégique au niveau exécution,"savoir exploiter les bases du pilotage industriel et la  stratégie  de  collaboration  entre  MES (architecture  et  technologie  d'un  système d'information industrielle, aspect conceptuel) et SAP",connaître les normes des échanges de données et les transactions entres logiciels(EAI),"RTPM : pilotage en temps réel, comment le système d'information va permettre d'atteindre l'excellence industrielle? (Industrie 4.0)",,,,,
SY22,TM,Systèmes sans fil,UV ing.,,C,28 h,TD,28 h,TP,30 h,THE,64 h,PRJ,30 h,,,,,Printemps,,LO14,Maîtrise du français : **  niveaux C1 |Intervenants extérieurs supérieur ou égal à 15%*,6 crédits,FRA,"Il s'agit d'introduire les principes des systèmes de transmission faisant appel à des technologies de communications sans fil de courte portée (Z-Wave, Zigbee, WiFi, Bluetooth) et de longue portée (Lora, Sigfox, GSM).",,,,,,,connaître et manipuler les technologies de transmission WiFi,connaître et manipuler les technologies de transmission Zigbee,connaître et manipuler les technologies de transmission Z-Wave,connaître et manipuler les technologies de transmission Bluetooth,comprendre les transmissions de longue portée Lora et Sigfox,connaître et manipuler les technologies de transmission 5G,construire un réseau d¿objets communiquant sans fil,,,,
SY23,CS,Intelligence artificielle pour les objets connectés,UV ing. ou UV TM pour ing. ou UV mast.,,C,28 h,TD,14 h,TP,42 h,THE,66 h,PRJ,30 h,,,,,Automne,,LO11,ouverte à l'alternance|Maîtrise du français : ** niveau C1 |,6 crédits,FRA,"Il s'agit d'introduire les techniques récentes de machine learning et de deep learning pour traiter des données massives pour les objets connectés, avec des applications en vision par ordinateur.",,,,,,,connaître et savoir entrainer des algorithmes de machine learning ,connaître et savoir entrainer des algorithmes de deep learning de type CNN et LSTM pour la classification supervisée ,connaître et savoir entrainer des algorithmes de deep learning pour la régression,connaître les principes d¿extraction de features et de finetuning sur des réseaux existants,"connaître et manipuler des méthodes de réduction et de visualisation de données en grande dimension (LLE, Laplacian EigenMaps, T-SNE)",connaître les principes du traitement distribué des données,savoir adapter les algorithmes de deep learning sur des cibles embarquées comme des microcontrôleurs ,,,,
SY25,CS,Objets connectés multimédia,UV TM pour ing. ou UV ing.,,C,28 h,TD,28 h,TP,28 h,THE,66 h,PRJ,10 h,,,,,Automne,,,Maîtrise du français : ** niveau C1|Intervenants extérieurs supérieur à 15% *,6 crédits,FRA,Il s'agit d'introduire le contexte des nouvelles technologies basées sur les objets connectés multimédia et les objets connectés mobiles (robotique).,,,,,,,connaître le contexte des nouveaux contenus multimédia,comprendre le fonctionnement d'une chaine de traitement d'images pour la reconnaissance de formes,"comprendre les différentes normes de codage et de compression du son, des images fixes et de la vidéo",connaître quelques algorithmes de localisation de capteurs en fonction des contraintes des transmissions Radio,manipuler des techniques d¿optimisation de transmission de flux vidéo,manipuler des techniques d¿intelligence artificielle pour optimiser la bande passante lors de la transmission d¿un grand volume de données,,,,,
SY30,CS,Automatique linéaire,UV ing.,,C,28 h,TD,28 h,TP,18 h,THE,76 h,,,,,,,Automne,,,Drapeau anglais,6 crédits,"ANG, FRA",connaitre les outils d'analyse des systèmes linéaires analogiques et numériques ,être capable de réaliser un correcteur linéaire répondant à un cahier des charges précis,,,,,modélisation des systèmes physiques par des fonctions de transfert,représentation et simplification des fonctions de transfert ,analyse temporelle et fréquentielle ,précision et stabilité ,"conception de correcteurs analogiques : correcteurs PID, correcteurs à avance/retard de phase, correcteurs de Smith  ",mise au point de correcteurs numériques : transposition des correcteurs analogiques,implémentation de correcteurs sur une cible temps sous Matlab/Simulink,,,,,
SY31,TM,"Modélisation, analyse et commande des systèmes automatisés",UV ing.,,C,28 h,TD,21 h,TP,24 h,THE,77 h,,,,,,,Automne,,,Drapeau anglais,6 crédits,"ANG, FRA",maîtriser les outils des systèmes combinatoires et séquentiels pour réaliser une automatisation à partir d'un cahier des charges,,,,,,,"présentation des modèles de base (automates, machine à états, Grafcet) utilisés pour représenter les comportements logiques des systèmes automatisés","synthèse de systèmes combinatoires : algèbre de Boole, fonctions binaires, minimisation des fonctions binaires","synthèse synchrone et asynchrone de systèmes séquentiels : notion d'états, fonction mémoire, bascules",modélisation de la commande des systèmes automatisés par Grafcet,programmation et mise en ½uvre d'un Automate Programmable Industriel (API),,,,,,
